eV
E 7
0.00000000e+00  
5.36174800e-02  
3.00416810e-01  
5.46872950e-01  
6.26329970e-01  
8.22097650e-01  
9.52927000e-01  
W 39
1.33313800e-02  
2.05112600e-02  
2.72943100e-02  
3.41797000e-02  
3.73657200e-02  
6.49049000e-02  
6.58749300e-02  
6.61928100e-02  
6.78940100e-02  
7.21776800e-02  
7.71953000e-02  
8.35601300e-02  
8.59122700e-02  
9.13246600e-02  
1.01144660e-01  
1.06912600e-01  
1.12565540e-01  
1.17893220e-01  
1.22217270e-01  
1.26397090e-01  
1.36365110e-01  
1.43976380e-01  
1.56379570e-01  
1.58840970e-01  
1.68859360e-01  
1.71694100e-01  
1.72884340e-01  
1.78210130e-01  
1.81364920e-01  
1.89554890e-01  
1.91765260e-01  
2.01505290e-01  
2.07563780e-01  
2.09408690e-01  
3.95120010e-01  
4.04276180e-01  
4.52154810e-01  
4.57444880e-01  
4.69237240e-01  
L
0.00000000e+00  3.80733100e-02  -5.54727000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.80733100e-02  0.00000000e+00  0.00000000e+00  3.58966700e-02  2.28805000e-03  -6.31183600e-02  -7.70493000e-03  
-5.54727000e-03  0.00000000e+00  0.00000000e+00  -3.12941700e-02  3.33196000e-02  5.50764200e-02  1.56297700e-02  
0.00000000e+00  3.58966700e-02  -3.12941700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  2.28805000e-03  3.33196000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  -6.31183600e-02  5.50764200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  -7.70493000e-03  1.56297700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
L
0.00000000e+00  -1.54430900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
-1.54430900e-02  0.00000000e+00  0.00000000e+00  -1.15155500e-02  1.30615700e-02  0.00000000e+00  1.32564900e-02  
0.00000000e+00  0.00000000e+00  0.00000000e+00  2.29176700e-02  -1.50096400e-02  -1.87655700e-02  -1.20134900e-02  
0.00000000e+00  -1.15155500e-02  2.29176700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  1.30615700e-02  -1.50096400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  0.00000000e+00  -1.87655700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  1.32564900e-02  -1.20134900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
L
0.00000000e+00  1.38196500e-02  -1.67264100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.38196500e-02  0.00000000e+00  0.00000000e+00  1.40258800e-02  2.94392000e-03  -2.57665300e-02  1.65482600e-02  
-1.67264100e-02  0.00000000e+00  0.00000000e+00  -6.79351000e-03  7.62839000e-03  -4.97559000e-03  -3.11222100e-02  
0.00000000e+00  1.40258800e-02  -6.79351000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  2.94392000e-03  7.62839000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
0.00000000e+00  -2.57665300e-02  -4.97559000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
