eV
E 6
0.00000000e+00  
3.89859110e-01  
6.04562540e-01  
8.20891450e-01  
9.59533130e-01  
1.16304874e+00  
W 42
4.39558900e-02  
1.79163900e-02  
1.86933900e-02  
2.36805400e-02  
3.83619900e-02  
4.24893800e-02  
4.56578700e-02  
5.10251700e-02  
6.13958200e-02  
6.30969100e-02  
6.78322500e-02  
7.33328300e-02  
7.96819300e-02  
8.07442900e-02  
8.41478400e-02  
9.06885700e-02  
9.27656800e-02  
9.79013100e-02  
1.04880770e-01  
1.10726230e-01  
1.20621690e-01  
1.27405140e-01  
1.36105320e-01  
1.38803210e-01  
1.44309880e-01  
1.49968800e-01  
1.61530860e-01  
1.66971870e-01  
1.73335020e-01  
1.77665000e-01  
1.83557300e-01  
1.87728820e-01  
1.95995750e-01  
1.99568160e-01  
2.02875000e-01  
2.09897640e-01  
2.23841540e-01  
4.04204570e-01  
4.49443230e-01  
4.52616030e-01  
4.56286630e-01  
4.68608650e-01  
L
0.00000000e+00  2.28070300e-02  -5.30551000e-03  -1.91740200e-02  0.00000000e+00  2.82707000e-03  
2.28070300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.61362200e-02  0.00000000e+00  
-5.30551000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00436000e-03  0.00000000e+00  
-1.91740200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.74496100e-02  0.00000000e+00  
0.00000000e+00  3.61362200e-02  1.00436000e-03  -2.74496100e-02  0.00000000e+00  3.15864000e-03  
2.82707000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.15864000e-03  0.00000000e+00  
L
0.00000000e+00  -2.80669000e-03  1.79683000e-02  9.01538000e-03  0.00000000e+00  1.00268900e-02  
-2.80669000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.59302000e-03  0.00000000e+00  
1.79683000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -3.93981000e-03  0.00000000e+00  
9.01538000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.08139000e-03  0.00000000e+00  
0.00000000e+00  3.59302000e-03  -3.93981000e-03  3.08139000e-03  0.00000000e+00  2.10089000e-03  
1.00268900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.10089000e-03  0.00000000e+00  
L
0.00000000e+00  -7.12585000e-03  -4.57975000e-03  -1.67397000e-02  0.00000000e+00  1.76120300e-02  
-7.12585000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.44639200e-02  0.00000000e+00  
-4.57975000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.31240000e-03  0.00000000e+00  
-1.67397000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -9.01327000e-03  0.00000000e+00  
0.00000000e+00  -1.44639200e-02  7.31240000e-03  -9.01327000e-03  0.00000000e+00  1.78165900e-02  
1.76120300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.78165900e-02  0.00000000e+00  
L
0.00000000e+00  8.34819000e-03  -1.43541100e-02  -1.44752000e-03  0.00000000e+00  -2.39596200e-02  
8.34819000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.68500000e-04  0.00000000e+00  
-1.43541100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.05856000e-03  0.00000000e+00  
-1.44752000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.54319800e-02  0.00000000e+00  
0.00000000e+00  8.68500000e-04  9.05856000e-03  1.54319800e-02  0.00000000e+00  -5.49124000e-03  
-2.39596200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -5.49124000e-03  0.00000000e+00  
L
1.65986900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.32267100e-02  0.00000000e+00  
0.00000000e+00  -1.12927900e-02  -7.67680000e-04  9.88729000e-03  0.00000000e+00  4.35780000e-04  
0.00000000e+00  -7.67680000e-04  -1.91855000e-02  -3.27069000e-03  0.00000000e+00  1.77911600e-02  
0.00000000e+00  9.88729000e-03  -3.27069000e-03  2.24493900e-02  0.00000000e+00  1.66801000e-03  
-1.32267100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.94558800e-02  0.00000000e+00  
0.00000000e+00  4.35780000e-04  1.77911600e-02  1.66801000e-03  0.00000000e+00  1.19745500e-02  
L
2.68032500e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -3.23543000e-03  0.00000000e+00  
0.00000000e+00  2.81640200e-02  -7.18530000e-04  4.14448000e-03  0.00000000e+00  -1.31640000e-04  
0.00000000e+00  -7.18530000e-04  5.85101000e-03  -7.17430000e-04  0.00000000e+00  -1.10574000e-02  
0.00000000e+00  4.14448000e-03  -7.17430000e-04  1.97279600e-02  0.00000000e+00  -5.03740000e-04  
-3.23543000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.77555300e-02  0.00000000e+00  
