eV
E 6
0.00000000e+00  
2.60007440e-01  
5.31312640e-01  
7.52486580e-01  
8.70702860e-01  
1.04613135e+00  
W 42
4.69672700e-02  
1.77337800e-02  
1.83664200e-02  
2.35231200e-02  
3.82503300e-02  
4.21887000e-02  
4.52554400e-02  
5.07422000e-02  
6.10781400e-02  
6.25784600e-02  
6.73242300e-02  
7.31951900e-02  
7.96352100e-02  
8.03671300e-02  
8.35556500e-02  
8.94864700e-02  
9.18505200e-02  
9.58859800e-02  
1.04328250e-01  
1.07968580e-01  
1.19432310e-01  
1.27099200e-01  
1.35658130e-01  
1.38850970e-01  
1.44590750e-01  
1.49818570e-01  
1.61667300e-01  
1.66657450e-01  
1.74576470e-01  
1.77274060e-01  
1.84518400e-01  
1.87556500e-01  
1.95728290e-01  
1.98696750e-01  
2.02384270e-01  
2.09685700e-01  
2.24266680e-01  
4.04472930e-01  
4.50546630e-01  
4.54452140e-01  
4.57439910e-01  
4.71175690e-01  
L
0.00000000e+00  2.61110000e-02  -6.00820000e-03  -1.26679300e-02  0.00000000e+00  5.73060000e-03  
2.61110000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.77745000e-02  0.00000000e+00  
-6.00820000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -3.41360000e-04  0.00000000e+00  
-1.26679300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.21046700e-02  0.00000000e+00  
0.00000000e+00  4.77745000e-02  -3.41360000e-04  -2.21046700e-02  0.00000000e+00  -3.71590000e-04  
5.73060000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -3.71590000e-04  0.00000000e+00  
L
0.00000000e+00  -4.75780000e-04  1.61710700e-02  8.61131000e-03  0.00000000e+00  1.50484700e-02  
-4.75780000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.10740000e-04  0.00000000e+00  
1.61710700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -7.81300000e-04  0.00000000e+00  
8.61131000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.94350000e-04  0.00000000e+00  
0.00000000e+00  9.10740000e-04  -7.81300000e-04  8.94350000e-04  0.00000000e+00  3.14183000e-03  
1.50484700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.14183000e-03  0.00000000e+00  
L
0.00000000e+00  -3.49205000e-03  -7.20031000e-03  -1.61097600e-02  0.00000000e+00  6.18395000e-03  
-3.49205000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.32866900e-02  0.00000000e+00  
-7.20031000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.48342000e-03  0.00000000e+00  
-1.61097600e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -9.54635000e-03  0.00000000e+00  
0.00000000e+00  -1.32866900e-02  3.48342000e-03  -9.54635000e-03  0.00000000e+00  1.94185600e-02  
6.18395000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.94185600e-02  0.00000000e+00  
L
0.00000000e+00  1.80592000e-03  -1.31944400e-02  -4.21354000e-03  0.00000000e+00  -2.14975300e-02  
1.80592000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -3.93120000e-04  0.00000000e+00  
